관광지명,group_1,group_1_tag,group_2,group_2_tag,group_3,group_3_tag,group_4,group_4_tag,group_5,group_5_tag,Group,group1,group2,group3,group4,group5
금능해수욕장,4.0,"['자연', '경관', '동반', '맑음']",10.0,"['경관', '자연', '맑음', '어린이', '해변', '관광지', '여름', '관광', '일몰', '동반']",4.0,"['관광지', '관광', '동반', '어린이']",11.0,"['체험', '레저', '관광', '어린이', '맑음', '수상', '관광지', '해변', '물놀이', '여름', '동반']",6.0,"['관광', '해변', '경관', '맑음', '자연', '동반']",11.0,0,0,0,1,0
금당목장ATV,3.0,"['친구', '맑음', '커플']",4.0,"['커플', '맑음', '친구', '관광']",1.0,['관광'],5.0,"['체험', '관광', '맑음', '커플', '친구']",2.0,"['관광', '맑음']",5.0,0,0,0,1,0
금덕무환자나무및팽나무군락,2.0,"['자연', '경관']",3.0,"['경관', '자연', '관광']",2.0,"['관광', '문화']",1.0,['관광'],8.0,"['문화', '유적지', '관광', '역사', '유적', '경관', '자연', '화관']",8.0,0,0,0,0,1
금룡사 템플스테이,1.0,['커플'],5.0,"['커플', '휴식', '힐링', '관광', '사계절']",4.0,"['실내', '관광', '문화', '사계절']",3.0,"['체험', '관광', '커플']",3.0,"['문화', '관광', '화관']",5.0,0,1,0,0,0
금성포구,2.0,"['자연', '경관']",3.0,"['경관', '자연', '해변']",1.0,['문화'],1.0,['해변'],8.0,"['문화', '유적지', '역사', '유적', '포구', '해변', '경관', '자연']",8.0,0,0,0,0,1
금악오름(왕매),8.0,"['도보', '걷기', '자연', '등산', '경관', '오름', '커플', '가을']",4.0,"['경관', '커플', '자연', '일몰']",0.0,,1.0,['커플'],2.0,"['경관', '자연']",8.0,1,0,0,0,0
금요일의아침조금,1.0,['동반'],1.0,['동반'],3.0,"['카페', '식당', '동반']",1.0,['동반'],4.0,"['식당', '카페', '동반', '제주시']",4.0,0,0,0,0,1
기독교순례길 1코스(순종의길),5.0,"['도보', '걷기', '등산', '봄', '가을']",1.0,['관광'],2.0,"['관광', '문화']",1.0,['관광'],3.0,"['문화', '관광', '화관']",5.0,1,0,0,0,0
기독교순례길 2코스(순교의길),5.0,"['도보', '걷기', '등산', '봄', '가을']",1.0,['관광'],2.0,"['관광', '문화']",1.0,['관광'],3.0,"['문화', '관광', '화관']",5.0,1,0,0,0,0
기독교순례길 3코스(사명의길),4.0,"['도보', '걷기', '봄', '가을']",1.0,['관광'],2.0,"['관광', '문화']",1.0,['관광'],3.0,"['문화', '관광', '화관']",4.0,1,0,0,0,0
기독교순례길 4코스(화해의길),5.0,"['도보', '걷기', '등산', '봄', '가을']",1.0,['관광'],2.0,"['관광', '문화']",1.0,['관광'],3.0,"['문화', '관광', '화관']",5.0,1,0,0,0,0
김경숙해바라기농장,5.0,"['자연', '경관', '친구', '맑음', '커플']",10.0,"['경관', '포토', '커플', '자연', '맑음', '스팟', '친구', '부모', '어린이', '여름']",1.0,['어린이'],5.0,"['어린이', '맑음', '커플', '친구', '여름']",3.0,"['경관', '맑음', '자연']",10.0,0,1,0,0,0
김녕 지질트레일,8.0,"['걷기', '자연', '등산', '경관', '친구', '맑음', '커플', '가을']",5.0,"['경관', '커플', '자연', '맑음', '친구']",1.0,['겨울'],4.0,"['체험', '맑음', '커플', '친구']",3.0,"['경관', '맑음', '자연']",8.0,1,0,0,0,0
김녕 청굴물,2.0,"['자연', '경관']",3.0,"['경관', '자연', '여름']",0.0,,4.0,"['체험', '레저', '수상', '여름']",2.0,"['경관', '자연']",4.0,0,0,0,1,0
김녕금속공예벽화마을,3.0,"['경관', '커플', '가을']",6.0,"['경관', '포토', '커플', '스팟', '관광', '무장애']",3.0,"['관광', '무장애', '문화']",5.0,"['관광', '마을', '커플', '산책', '무장애']",7.0,"['문화', '유적지', '관광', '역사', '유적', '경관', '화관']",7.0,0,0,0,0,1
김녕사굴,2.0,"['자연', '경관']",3.0,"['경관', '자연', '관광']",2.0,"['관광', '문화']",1.0,['관광'],8.0,"['문화', '유적지', '관광', '역사', '유적', '경관', '자연', '화관']",8.0,0,0,0,0,1
김녕요트투어,1.0,['커플'],3.0,"['커플', '여름', '관광']",1.0,['관광'],6.0,"['체험', '레저', '관광', '커플', '수상', '여름']",1.0,['관광'],6.0,0,0,0,1,0
김녕항,3.0,"['자연', '경관', '맑음']",4.0,"['경관', '자연', '맑음', '해변']",0.0,,2.0,"['맑음', '해변']",4.0,"['해변', '경관', '맑음', '자연']",4.0,0,1,0,0,1
김녕해수욕장,5.0,"['자연', '경관', '오름', '동반', '맑음']",9.0,"['경관', '자연', '맑음', '어린이', '해변', '관광지', '여름', '관광', '동반']",4.0,"['관광지', '관광', '동반', '어린이']",11.0,"['체험', '레저', '관광', '어린이', '맑음', '수상', '관광지', '해변', '물놀이', '여름', '동반']",6.0,"['관광', '해변', '경관', '맑음', '자연', '동반']",11.0,0,0,0,1,0
김녕해수욕장야영장,2.0,"['자연', '경관']",5.0,"['경관', '자연', '어린이', '해변', '여름']",1.0,['어린이'],8.0,"['체험', '레저', '어린이', '수상', '해변', '물놀이', '여름', '캠핑']",3.0,"['해변', '경관', '자연']",8.0,0,0,0,1,0
김녕해안도로,4.0,"['자연', '경관', '맑음', '커플']",5.0,"['경관', '커플', '자연', '맑음', '여름']",0.0,,3.0,"['맑음', '커플', '여름']",3.0,"['경관', '맑음', '자연']",5.0,0,1,0,0,0
김만덕객주,4.0,"['친구', '동반', '맑음', '커플']",7.0,"['커플', '맑음', '친구', '부모', '관광지', '관광', '동반']",7.0,"['실내', '카페', '관광지', '식당', '관광', '동반', '문화']",6.0,"['관광', '맑음', '커플', '친구', '관광지', '동반']",10.0,"['문화', '유적지', '관광', '역사', '유적', '맑음', '식당', '카페', '동반', '화관']",10.0,0,0,0,0,1
김만덕기념관,1.0,['친구'],4.0,"['친구', '관광지', '관광', '무장애']",8.0,"['실내', '관광지', '관광', '박물관', '무장애', '미술', '문화', '겨울']",4.0,"['관광', '친구', '관광지', '무장애']",3.0,"['문화', '관광', '화관']",8.0,0,0,1,0,0
김영갑갤러리 두모악,1.0,['커플'],3.0,"['커플', '관광', '무장애']",7.0,"['실내', '관광', '박물관', '무장애', '미술', '문화', '겨울']",3.0,"['관광', '커플', '무장애']",3.0,"['문화', '관광', '화관']",7.0,0,0,1,0,0
깅코,1.0,['동반'],2.0,"['포토', '동반']",5.0,"['카페', '라떼', '식당', '동반', '음식']",1.0,['동반'],3.0,"['식당', '카페', '동반']",5.0,0,0,1,0,0
까끄래기오름,8.0,"['도보', '자연', '경관', '오름', '친구', '맑음', '커플', '가을']",11.0,"['경관', '포토', '커플', '자연', '맑음', '스팟', '휴식', '친구', '힐링', '사계절', '치유']",2.0,"['테마', '사계절']",5.0,"['체험', '레저', '맑음', '커플', '친구']",3.0,"['경관', '맑음', '자연']",11.0,0,1,0,0,0
꼬라지오,1.0,['동반'],1.0,['동반'],4.0,"['카페', '식당', '동반', '음식']",1.0,['동반'],3.0,"['식당', '카페', '동반']",4.0,0,0,1,0,0
꽃썸,5.0,"['친구', '맑음', '커플', '봄', '가을']",9.0,"['포토', '커플', '맑음', '스팟', '휴식', '친구', '부모', '해변', '여름']",2.0,"['카페', '겨울']",5.0,"['맑음', '커플', '친구', '해변', '여름']",3.0,"['해변', '맑음', '카페']",9.0,0,1,0,0,0
나무식탁,1.0,['동반'],1.0,['동반'],4.0,"['카페', '식당', '동반', '음식']",1.0,['동반'],3.0,"['식당', '카페', '동반']",4.0,0,0,1,0,0
나바론절벽,3.0,"['자연', '경관', '가을']",4.0,"['경관', '포토', '자연', '스팟']",0.0,,0.0,,2.0,"['경관', '자연']",4.0,0,1,0,0,0
