관광지명,Group4,Group4_tag,group4_1,group4_1_tag,group4_2,group4_2_tag,group4_3,group4_3_tag
제이홀스클럽,1,"['체험', '이색', '승마']",0.0,,0.0,,1.0,"['이색', '승마']"
제주 샘주,1,"['체험', '이색']",0.0,,0.0,,1.0,['이색']
제주 캘리아트,1,"['체험', '이색']",0.0,,0.0,,1.0,['이색']
제주 토이 승마장,1,"['체험', '이색', '승마']",0.0,,0.0,,1.0,"['이색', '승마']"
제주가구공방,1,"['체험', '이색']",0.0,,0.0,,1.0,['이색']
제주도공방노꼬메,1,['체험'],0.0,,0.0,,0.0,
제주레이크힐스컨트리클럽,1,"['체험', '레저']",1.0,['레저'],1.0,['레저'],1.0,['레저']
제주바다하늘패러투어,1,"['체험', '이색']",0.0,,0.0,,1.0,['이색']
제주베스트힐 펜션&글램핑,1,"['체험', '캠핑']",0.0,,1.0,['캠핑'],1.0,['캠핑']
제주술익는집,1,"['체험', '이색']",0.0,,0.0,,1.0,['이색']
제주아리온승마장,1,"['체험', '이색', '승마']",0.0,,0.0,,1.0,"['이색', '승마']"
제주웨이브서핑,1,"['체험', '이색']",0.0,,0.0,,1.0,['이색']
제주파인비치카라반,1,['캠핑'],0.0,,1.0,['캠핑'],1.0,['캠핑']
제주프리다이빙스쿨,1,['체험'],0.0,,0.0,,0.0,
제주해바라기공방,1,"['체험', '이색']",0.0,,0.0,,1.0,['이색']
제주해양레저타운,1,"['레저', '수상']",0.0,['레저'],1.0,"['레저', '수상']",0.0,['레저']
제주홀스타승마장,1,"['체험', '이색', '승마']",0.0,,0.0,,1.0,"['이색', '승마']"
제주힐CC,1,"['체험', '레저']",1.0,['레저'],1.0,['레저'],1.0,['레저']
중문레져UTV,1,"['체험', '이색']",0.0,,0.0,,1.0,['이색']
중문승마체험장,1,"['체험', '이색', '승마']",0.0,,0.0,,1.0,"['이색', '승마']"
차귀도달래배낚시체험,1,"['체험', '이색']",0.0,,0.0,,1.0,['이색']
